week_start_date,labor_hours,restaurant
2025-10-13,3117,Washington Cafe
2025-10-20,3041,Washington Cafe
2025-10-27,3112,Washington Cafe
2025-11-03,3141,Washington Cafe
2025-11-10,3080,Washington Cafe
2025-11-17,3054,Washington Cafe
2025-11-24,3043,Washington Cafe
2025-12-01,3116,Washington Cafe
2025-12-08,2965,Washington Cafe
2025-12-15,3017,Washington Cafe
2025-12-22,2994,Washington Cafe
2025-12-29,3008,Washington Cafe
2026-01-05,2979,Washington Cafe
2026-01-12,2906,Washington Cafe
2026-01-19,3063,Washington Cafe
2026-01-26,2946,Washington Cafe
2026-02-02,2849,Washington Cafe
2026-02-09,2863,Washington Cafe
2026-02-16,2908,Washington Cafe
2026-02-23,2930,Washington Cafe
2026-03-02,2818,Washington Cafe
2026-03-09,2930,Washington Cafe
2026-03-16,2817,Washington Cafe
2026-03-23,2853,Washington Cafe
2026-03-30,2952,Washington Cafe
2026-04-06,3010,Washington Cafe
2026-04-13,2926,Washington Cafe
2026-04-20,2931,Washington Cafe
2026-04-27,3038,Washington Cafe
2026-05-04,2933,Washington Cafe
2026-05-11,3033,Washington Cafe
2026-05-18,3059,Washington Cafe
2026-05-25,3132,Washington Cafe
2026-06-01,3126,Washington Cafe
2026-06-08,3128,Washington Cafe
2026-06-15,3212,Washington Cafe
2026-06-22,3152,Washington Cafe
2026-06-29,3295,Washington Cafe
2026-07-06,3249,Washington Cafe
2026-07-13,3272,Washington Cafe
2026-07-20,3337,Washington Cafe
2026-07-27,3393,Washington Cafe
2026-08-03,3462,Washington Cafe
2026-08-10,3442,Washington Cafe
2026-08-17,3522,Washington Cafe
2026-08-24,3562,Washington Cafe
2026-08-31,3526,Washington Cafe
2026-09-07,3498,Washington Cafe
2026-09-14,3620,Washington Cafe
2026-09-21,3599,Washington Cafe
2026-09-28,3479,Washington Cafe
2026-10-05,3549,Washington Cafe
2026-10-12,3616,Washington Cafe
2026-10-19,3534,Washington Cafe
2026-10-26,3571,Washington Cafe
2026-11-02,3510,Washington Cafe
2026-11-09,3619,Washington Cafe
2026-11-16,3601,Washington Cafe
2026-11-23,3587,Washington Cafe
2026-11-30,3643,Washington Cafe
2026-12-07,3530,Washington Cafe
2026-12-14,3518,Washington Cafe
2026-12-21,3628,Washington Cafe
2026-12-28,3455,Washington Cafe
