week_start_date,labor_hours,restaurant
2019-09-23,1147,Washington Cafe
2019-09-30,1230,Washington Cafe
2019-10-07,1109,Washington Cafe
2019-10-14,1276,Washington Cafe
2019-10-21,1149,Washington Cafe
2019-10-28,1220,Washington Cafe
2019-11-04,1000,Washington Cafe
2019-11-11,1192,Washington Cafe
2019-11-18,1000,Washington Cafe
2019-11-25,1000,Washington Cafe
2019-12-02,1113,Washington Cafe
2019-12-09,1042,Washington Cafe
2019-12-16,1170,Washington Cafe
2019-12-23,1300,Washington Cafe
2019-12-30,1050,Washington Cafe
2020-01-06,1075,Washington Cafe
2020-01-13,1175,Washington Cafe
2020-01-20,1209,Washington Cafe
2020-01-27,1129,Washington Cafe
2020-02-03,1125,Washington Cafe
2020-02-10,1234,Washington Cafe
2020-02-17,1212,Washington Cafe
2020-02-24,1026,Washington Cafe
2020-03-02,1140,Washington Cafe
2020-03-09,1154,Washington Cafe
2020-03-16,1023,Washington Cafe
2020-03-23,1181,Washington Cafe
2020-03-30,1047,Washington Cafe
2020-04-06,1267,Washington Cafe
2020-04-13,1173,Washington Cafe
2020-04-20,1161,Washington Cafe
2020-04-27,1079,Washington Cafe
2020-05-04,1136,Washington Cafe
2020-05-11,1000,Washington Cafe
2020-05-18,1014,Washington Cafe
2020-05-25,1194,Washington Cafe
2020-06-01,1000,Washington Cafe
2020-06-08,1252,Washington Cafe
2020-06-15,1000,Washington Cafe
2020-06-22,1241,Washington Cafe
2020-06-29,1049,Washington Cafe
2020-07-06,1243,Washington Cafe
2020-07-13,1166,Washington Cafe
2020-07-20,1000,Washington Cafe
2020-07-27,1300,Washington Cafe
2020-08-03,1300,Washington Cafe
2020-08-10,1142,Washington Cafe
2020-08-17,1117,Washington Cafe
2020-08-24,1131,Washington Cafe
2020-08-31,1033,Washington Cafe
2020-09-07,1282,Washington Cafe
2020-09-14,1085,Washington Cafe
2020-09-21,1144,Washington Cafe
2020-09-28,1055,Washington Cafe
2020-10-05,1075,Washington Cafe
2020-10-12,1000,Washington Cafe
2020-10-19,1300,Washington Cafe
2020-10-26,1132,Washington Cafe
2020-11-02,1266,Washington Cafe
2020-11-09,1152,Washington Cafe
2020-11-16,1067,Washington Cafe
2020-11-23,1111,Washington Cafe
2020-11-30,1083,Washington Cafe
2020-12-07,1151,Washington Cafe
2020-12-14,1105,Washington Cafe
2020-12-21,1114,Washington Cafe
2020-12-28,1000,Washington Cafe
2021-01-04,1284,Washington Cafe
2021-01-11,1333,Washington Cafe
2021-01-18,1287,Washington Cafe
2021-01-25,1279,Washington Cafe
2021-02-01,1307,Washington Cafe
2021-02-08,1328,Washington Cafe
2021-02-15,1271,Washington Cafe
2021-02-22,1296,Washington Cafe
2021-03-01,1287,Washington Cafe
2021-03-08,1265,Washington Cafe
2021-03-15,1315,Washington Cafe
2021-03-22,1300,Washington Cafe
2021-03-29,1301,Washington Cafe
2021-04-05,1285,Washington Cafe
2021-04-12,1309,Washington Cafe
2021-04-19,1289,Washington Cafe
2021-04-26,1297,Washington Cafe
2021-05-03,1278,Washington Cafe
2021-05-10,1276,Washington Cafe
2021-05-17,1327,Washington Cafe
2021-05-24,1290,Washington Cafe
2021-05-31,1306,Washington Cafe
2021-06-07,1299,Washington Cafe
2021-06-14,1291,Washington Cafe
2021-06-21,1290,Washington Cafe
2021-06-28,1313,Washington Cafe
2021-07-05,1294,Washington Cafe
2021-07-12,1297,Washington Cafe
2021-07-19,1300,Washington Cafe
2021-07-26,1324,Washington Cafe
2021-08-02,1314,Washington Cafe
2021-08-09,1308,Washington Cafe
2021-08-16,1289,Washington Cafe
2021-08-23,1272,Washington Cafe
2021-08-30,1319,Washington Cafe
2021-09-06,1319,Washington Cafe
2021-09-13,1297,Washington Cafe
2021-09-20,1311,Washington Cafe
2021-09-27,1316,Washington Cafe
2021-10-04,1317,Washington Cafe
2021-10-11,1318,Washington Cafe
2021-10-18,1291,Washington Cafe
2021-10-25,1330,Washington Cafe
2021-11-01,1275,Washington Cafe
2021-11-08,1317,Washington Cafe
2021-11-15,1310,Washington Cafe
2021-11-22,1317,Washington Cafe
2021-11-29,1338,Washington Cafe
2021-12-06,1330,Washington Cafe
2021-12-13,1277,Washington Cafe
2021-12-20,1266,Washington Cafe
2021-12-27,1316,Washington Cafe
2022-01-03,1280,Washington Cafe
2022-01-10,1300,Washington Cafe
2022-01-17,1317,Washington Cafe
2022-01-24,1267,Washington Cafe
2022-01-31,1258,Washington Cafe
2022-02-07,1305,Washington Cafe
2022-02-14,1301,Washington Cafe
2022-02-21,1295,Washington Cafe
2022-02-28,1301,Washington Cafe
2022-03-07,1283,Washington Cafe
2022-03-14,1270,Washington Cafe
2022-03-21,1297,Washington Cafe
2022-03-28,1281,Washington Cafe
2022-04-04,1267,Washington Cafe
2022-04-11,1310,Washington Cafe
2022-04-18,1299,Washington Cafe
2022-04-25,1308,Washington Cafe
2022-05-02,1280,Washington Cafe
2022-05-09,1287,Washington Cafe
2022-05-16,1280,Washington Cafe
2022-05-23,1282,Washington Cafe
2022-05-30,1304,Washington Cafe
2022-06-06,1284,Washington Cafe
2022-06-13,1307,Washington Cafe
2022-06-20,1307,Washington Cafe
2022-06-27,1341,Washington Cafe
2022-07-04,1272,Washington Cafe
2022-07-11,1318,Washington Cafe
2022-07-18,1298,Washington Cafe
2022-07-25,1300,Washington Cafe
2022-08-01,1271,Washington Cafe
2022-08-08,1291,Washington Cafe
2022-08-15,1315,Washington Cafe
2022-08-22,1298,Washington Cafe
2022-08-29,1302,Washington Cafe
2022-09-05,1294,Washington Cafe
2022-09-12,1323,Washington Cafe
2022-09-19,1300,Washington Cafe
2022-09-26,1256,Washington Cafe
2022-10-03,1286,Washington Cafe
2022-10-10,1261,Washington Cafe
2022-10-17,1250,Washington Cafe
2022-10-24,1289,Washington Cafe
2022-10-31,1327,Washington Cafe
2022-11-07,1301,Washington Cafe
2022-11-14,1277,Washington Cafe
2022-11-21,1281,Washington Cafe
2022-11-28,1323,Washington Cafe
2022-12-05,1303,Washington Cafe
2022-12-12,1301,Washington Cafe
2022-12-19,1299,Washington Cafe
2022-12-26,1301,Washington Cafe
